M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
7228,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7228,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7228,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7228,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7228,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7228,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7063,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7063,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7063,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7063,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7063,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7063,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
8036,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
8036,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
8036,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
8036,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
8036,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
8036,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7435,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7435,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7435,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7435,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7435,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7435,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7760,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7760,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7760,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7760,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7760,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7760,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6581,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6581,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6581,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6581,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6581,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6581,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7355,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7355,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7355,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7355,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7355,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7355,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
13362,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
13362,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
13362,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
13362,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
13362,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
13362,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7630,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7630,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7630,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7630,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7630,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7630,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
8127,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
8127,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
8127,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
8127,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
8127,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
8127,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
8065,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
8065,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
8065,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
8065,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
8065,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
8065,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7309,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7309,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7309,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7309,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7309,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7309,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6826,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6826,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6826,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6826,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6826,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6826,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6888,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6888,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6888,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6888,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6888,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6888,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6941,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6941,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6941,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6941,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6941,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6941,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7619,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7619,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7619,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7619,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7619,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7619,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
8019,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
8019,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
8019,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
8019,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
8019,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
8019,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7441,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7441,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7441,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7441,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7441,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7441,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6810,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6810,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6810,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6810,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6810,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6810,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
